"FECHA","TIPO","NUMERO","R.C.","ORDEN DE","DETALLE","DEB/HAB","GRAVADO","I.V.A.","NO INS.","MON.","GRAVADO","I.V.A.","NO INS.","IVA PER.","0"
"020115","FAP","000100000974","MAT","P2355","","D","9814.20","2060.98","0.00","1","0.00","0.00","0.00","0.00","11875.18"
"270415","FAP","000300012375","AD9","P2192","","H","94.21","19.78","0.00","1","0.00","0.00","0.00","0.00","113.99"
"050215","FAP","001100575466","AD9","P2205","","H","938.98","197.19","0.00","1","0.00","0.00","0.00","0.00","1136.17"
"100315","FAP","003500034988","AD9","P0999","","H","937.77","196.93","0.00","1","0.00","0.00","0.00","0.00","1134.7"
"040215","FAP","003500346988","AD9","P0999","","H","937.77","196.93","0.00","1","0.00","0.00","0.00","0.00","1134.7"
"010215","FAP","000100048542","MAT","P2109","","H","931.80","195.68","0.00","1","0.00","0.00","0.00","0.00","1127.48"
"010415","FAP","000100049124","AD9","P2109","","H","928.20","194.92","0.00","1","0.00","0.00","0.00","0.00","1123.1200000000001"
"060415","FAP","062700091233","AD9","P2441","","H","903.65","189.77","0.00","1","0.00","0.00","0.00","0.00","1093.42"
"210415","FAP","000400045489","AD9","P0921","","H","90.00","18.90","0.00","1","0.00","0.00","0.00","0.00","108.9"
"160115","FAP","054905652315","PRP","P2441","","H","9.59","2.01","0.00","1","0.00","0.00","0.00","0.00","11.6"
"290115","FAP","000108328220","PRP","P2441","","H","9.59","2.01","0.00","1","0.00","0.00","0.00","0.00","11.6"
"290115","FAP","000110087451","PRP","P2441","","H","9.59","2.01","0.00","1","0.00","0.00","0.00","0.00","11.6"
"180515","FAP","100600291438","MAT","P0898","","H","894.81","187.91","0.00","1","0.00","0.00","0.00","0.00","1082.72"
"220115","NCP","000700005424","PRP","P0902","","D","89.30","18.75","0.00","1","0.00","0.00","0.00","0.00","108.05"
"250215","FAP","000500006739","MAT","P1104","","H","89.28","18.75","0.00","1","0.00","0.00","0.00","0.00","108.03"
"220515","FAP","000100008327","MAT","P2294","","H","8734.54","1834.25","0.00","1","0.00","0.00","0.00","0.00","10568.79"
"280515","FAP","000100020964","MAT","P2275","","H","8640.00","1814.40","0.00","1","0.00","0.00","0.00","0.00","10454.4"
"150115","FAP","000600010094","FMO","P2284","","D","864.00","181.44","0.00","1","0.00","0.00","0.00","0.00","1045.44"
"280415","FAP","000800049155","MAT","P0755","","H","86.95","18.26","0.00","1","0.00","0.00","0.00","0.00","105.21000000000001"
"190115","FAP","000300064145","PRP","P0570","","H","86.80","18.23","0.00","1","0.00","0.00","0.00","0.00","105.03"
"130215","FAP","000400008965","AD9","P1104","","H","86.72","18.21","0.00","1","0.00","0.00","0.00","0.00","104.93"
"200515","FAP","000100001027","MAT","P2355","","H","8026.60","1685.59","0.00","1","0.00","0.00","0.00","0.00","9712.19"
"010515","FAP","000100095663","AD3","P0512","","H","794.26","214.45","0.00","1","0.00","0.00","0.00","0.00","1008.71"
"100215","FAP","000300000134","AD9","P2526","","H","790.00","165.90","0.00","1","0.00","0.00","0.00","0.00","955.9"
"010215","FAP","000100000983","MAT","P2355","","H","7867.80","1652.24","0.00","1","0.00","0.00","0.00","0.00","9520.04"
"120315","FAP","000100020689","MAT","P2275","","H","7840.00","1646.40","0.00","1","0.00","0.00","0.00","0.00","9486.4"
"090215","FAP","000100000994","MAT","P2355","","H","7707.90","1618.66","0.00","1","0.00","0.00","0.00","0.00","9326.56"
"130515","FAP","000500044198","MAT","P2381","","H","7636.54","1603.67","0.00","1","0.00","0.00","0.00","0.00","9240.21"
"180215","FAP","000100048745","MAT","P2109","","H","760.80","159.77","0.00","1","0.00","0.00","0.00","0.00","920.5699999999999"
"170415","FAP","000100110124","MAT","P0729","","H","749.32","157.36","0.00","1","0.00","0.00","0.00","0.00","906.6800000000001"
"020615","FAP","100600294737","MAT","P0898","","H","747.07","156.88","0.00","1","0.00","0.00","0.00","0.00","903.95"
"180515","FAP","000012015040","FA4","P0033","","H","742.11","200.37","0.00","1","0.00","0.00","0.00","0.00","942.48"
"220515","FAP","000100001550","MAT","P1198","","H","7391.00","1552.11","0.00","1","0.00","0.00","0.00","0.00","8943.11"
"120515","FAP","000200000058","AD9","P2109","","H","728.40","152.96","0.00","1","0.00","0.00","0.00","0.00","881.36"
"160115","FAP","000100046487","FMO","P2134","","D","720.00","151.20","0.00","1","0.00","0.00","0.00","0.00","871.2"
"250315","FAP","000300415119","AD9","P2369","","H","71.87","15.09","0.00","1","0.00","0.00","0.00","0.00","86.96000000000001"
"050315","FAP","000100109180","MAT","P0729","","H","703.46","147.73","0.00","1","0.00","0.00","0.00","0.00","851.19"
"070415","FAP","001602511862","CO4","P2212","","H","70.38","19.00","0.00","1","0.00","0.00","0.00","0.00","89.38"
"150115","FAP","000200085601","PRP","P0571","","H","70.08","14.72","0.00","1","0.00","0.00","0.00","0.00","84.8"
"010315","FAP","000100006400","AD9","P1117","","H","690.00","144.90","0.00","1","0.00","0.00","0.00","0.00","834.9"
"120515","FAP","000100016983","MAT","P2399","","H","69.00","14.49","0.00","1","0.00","0.00","0.00","0.00","83.49"
"240215","FAP","000100004000","AD9","P2114","","H","69.00","0.00","0.00","1","0.00","0.00","0.00","0.00","69"
"010215","FAP","000400028679","AD9","P2477","","H","685.95","144.05","0.00","1","0.00","0.00","0.00","0.00","830"
"050615","FAP","000300017135","MAT","P2274","","H","680.00","142.80","0.00","1","0.00","0.00","0.00","0.00","822.8"
"130515","FAP","000500011453","IMP","P2530","","H","678.73","71.27","0.00","1","0.00","0.00","0.00","0.00","750"
