"FECHA","TIPO","NUMERO","R.C.","ORDEN DE","DETALLE","DEB/HAB","GRAVADO","I.V.A.","NO INS.","MON.","GRAVADO","I.V.A.","NO INS.","IVA PER."
010115,"FAP",000100000966,"PRP","   P2355","                       ","H",         3900.00,          819.00,            0.00,1,            0.00,            0.00,            0.00,            0.00
010115,"FAP",000100000967,"PRP","   P2355","                       ","H",         6750.00,         1417.50,            0.00,1,            0.00,            0.00,            0.00,            0.00
010115,"FAP",000300013869,"AD9","   P2514","                       ","H",         1157.91,          243.16,            0.00,1,            0.00,            0.00,            0.00,            0.00
020115,"FAP",000100000974,"MAT","   P2355","                       ","D",         9814.20,         2060.98,            0.00,1,            0.00,            0.00,            0.00,            0.00
020115,"FAP",000800042065,"AD5","   P2521","                       ","D",          291.82,           61.28,            0.00,1,            0.00,            0.00,            0.00,            0.00
050115,"FAP",000100000242,"AD9","   P2523","                       ","D",          335.00,           70.35,            0.00,1,            0.00,            0.00,            0.00,            0.00
050115,"FAP",000100028659,"PRP","   P2379","                       ","H",         1357.11,          284.99,            0.00,1,            0.00,            0.00,            0.00,            0.00
050115,"FAP",000200000175,"PRP","   P2524","                       ","H",         1206.25,          253.31,            0.00,1,            0.00,            0.00,            0.00,            0.00
050115,"FAP",000300011547,"PRP","   P2161","                       ","H",          304.44,           63.93,            0.00,1,            0.00,            0.00,            0.00,            0.00
050115,"FAP",002700039378,"PRP","   P2119","                       ","H",          119.86,           25.17,            0.00,1,            0.00,            0.00,            0.00,            0.00
060115,"FAP",000400001213,"PRP","   P2359","                       ","H",         6199.25,         1301.84,            0.00,1,            0.00,            0.00,            0.00,            0.00
070115,"FAP",000100022100,"PRP","   P2421","                       ","H",         2347.96,          493.07,            0.00,1,            0.00,            0.00,            0.00,            0.00
080115,"FAP",000100072737,"PRP","   P2470","                       ","H",         5745.39,         1206.53,            0.00,1,            0.00,            0.00,            0.00,            0.00
080115,"FAP",000100170147,"PRP","   P0526","                       ","H",          287.60,           60.40,            0.00,1,            0.00,            0.00,            0.00,            0.00
080115,"FAP",000400082264,"PRP","   P0917","                       ","H",          526.86,          110.64,            0.00,1,            0.00,            0.00,            0.00,            0.00
090115,"FAP",000100006209,"PRP","   P1117","                       ","H",          210.00,           44.10,            0.00,1,            0.00,            0.00,            0.00,            0.00
090115,"FAP",000400042517,"PRP","   P0921","                       ","H",          130.00,           27.30,            0.00,1,            0.00,            0.00,            0.00,            0.00
090115,"FAP",000800045856,"PRP","   P0755","                       ","H",          130.40,           27.38,            0.00,1,            0.00,            0.00,            0.00,            0.00
090115,"FAP",001200054290,"PRP","   P2032","                       ","H",           59.93,           12.59,            0.00,1,            0.00,            0.00,            0.00,            0.00
120115,"FAP",000200085567,"PRP","   P0571","                       ","H",          118.08,           24.80,            0.00,1,            0.00,            0.00,            0.00,            0.00
120115,"FAP",000300064072,"PRP","   P0570","                       ","H",          138.37,           29.06,            0.00,1,            0.00,            0.00,            0.00,            0.00
120115,"FAP",100100189601,"PRP","   P0898","                       ","H",         1751.82,          367.88,            0.00,1,            0.00,            0.00,            0.00,            0.00
130115,"FAP",000100000978,"MAT","   P2355","                       ","D",         3150.00,          661.50,            0.00,1,            0.00,            0.00,            0.00,            0.00
130115,"FAP",000100003877,"PRP","   P2519","                       ","H",         4665.00,          979.65,            0.00,1,            0.00,            0.00,            0.00,            0.00
130115,"FAP",000100009848,"PRP","   P2048","                       ","H",         1356.20,          284.80,            0.00,1,            0.00,            0.00,            0.00,            0.00
130115,"FAP",000500006447,"PRP","   P1104","                       ","H",          165.28,           34.71,            0.00,1,            0.00,            0.00,            0.00,            0.00
140115,"FAP",000100002402,"FMO","   P2244","                       ","D",         1420.00,          298.20,            0.00,1,            0.00,            0.00,            0.00,            0.00
140115,"FAP",000100043873,"PRP","   P2392","                       ","H",          119.58,           25.11,            0.00,1,            0.00,            0.00,            0.00,            0.00
140115,"FAP",000200000192,"PRP","   P2524","                       ","H",          234.00,           49.14,            0.00,1,            0.00,            0.00,            0.00,            0.00
140115,"FAP",000500040621,"PRP","   P2381","                       ","H",          627.01,          131.67,            0.00,1,            0.00,            0.00,            0.00,            0.00
140115,"FAP",000600002099,"PRP","   P2102","                       ","H",         1493.39,          313.61,            0.00,1,            0.00,            0.00,            0.00,            0.00
150115,"FAP",000200085601,"PRP","   P0571","                       ","H",           70.08,           14.72,            0.00,1,            0.00,            0.00,            0.00,            0.00
150115,"FAP",000600010094,"FMO","   P2284","                       ","D",          864.00,          181.44,            0.00,1,            0.00,            0.00,            0.00,            0.00
160115,"FAP",000100006275,"PRP","   P1117","                       ","H",          280.00,           58.80,            0.00,1,            0.00,            0.00,            0.00,            0.00
160115,"FAP",000100046487,"FMO","   P2134","                       ","D",          720.00,          151.20,            0.00,1,            0.00,            0.00,            0.00,            0.00
160115,"FAP",000200085613,"PRP","   P0571","                       ","H",           41.79,            8.78,            0.00,1,            0.00,            0.00,            0.00,            0.00
160115,"FAP",001200054592,"PRP","   P2032","                       ","H",           59.80,           12.56,            0.00,1,            0.00,            0.00,            0.00,            0.00
160115,"FAP",027801418761,"PRP","   P2525","                       ","H",           13.85,            2.91,            0.00,1,            0.00,            0.00,            0.00,            0.00
160115,"FAP",028701452398,"PRP","   P2525","                       ","H",           18.48,            3.88,            0.00,1,            0.00,            0.00,            0.00,            0.00
160115,"FAP",054905652315,"PRP","   P2441","                       ","H",            9.59,            2.01,            0.00,1,            0.00,            0.00,            0.00,            0.00
190115,"FAP",000300064145,"PRP","   P0570","                       ","H",           86.80,           18.23,            0.00,1,            0.00,            0.00,            0.00,            0.00
190115,"FAP",000700070820,"FMO","   P0902","                       ","D",         2167.00,          455.07,            0.00,1,            0.00,            0.00,            0.00,            0.00
200115,"FAP",000100000982,"MAT","   P2355","                       ","D",         2990.00,          627.90,            0.00,1,            0.00,            0.00,            0.00,            0.00
210115,"FAP",000200085669,"PRP","   P0571","                       ","H",           50.48,           10.60,            0.00,1,            0.00,            0.00,            0.00,            0.00
210115,"FAP",000900014150,"GV1","   P2193","                       ","H",          238.84,           25.08,            0.00,1,            0.00,            0.00,            0.00,            0.00
220115,"FAP",000100108463,"PRP","   P0729","                       ","H",          470.12,           98.73,            0.00,1,            0.00,            0.00,            0.00,            0.00
220115,"FAP",000100171980,"PRP","   P2045","                       ","H",          169.71,           35.64,            0.00,1,            0.00,            0.00,            0.00,            0.00
220115,"FAP",000300031883,"PRP","   P2000","                       ","H",          528.60,          111.01,            0.00,1,            0.00,            0.00,            0.00,            0.00
220115,"FAP",000400003233,"PRP","   P0570","                       ","H",          141.67,           29.75,            0.00,1,            0.00,            0.00,            0.00,            0.00
220115,"FAP",000700071033,"PRP","   P0902","                       ","H",          126.15,           26.49,            0.00,1,            0.00,            0.00,            0.00,            0.00
220115,"FAP",264900101325,"PRP","   P0751","                       ","H",           61.28,           12.87,            0.00,1,            0.00,            0.00,            0.00,            0.00
220115,"NCP",000700005424,"PRP","   P0902","                       ","D",           89.30,           18.75,            0.00,1,            0.00,            0.00,            0.00,            0.00
230115,"FAP",000400008700,"PRP","   P1104","                       ","H",           53.52,           11.24,            0.00,1,            0.00,            0.00,            0.00,            0.00
230115,"FAP",000500040922,"PRP","   P2381","                       ","H",          190.08,           39.92,            0.00,1,            0.00,            0.00,            0.00,            0.00
280115,"FAP",000200000213,"PRP","   P2524","                       ","H",          107.34,           22.54,            0.00,1,            0.00,            0.00,            0.00,            0.00
280115,"FAP",000200085742,"PRP","   P0571","                       ","H",          107.44,           22.56,            0.00,1,            0.00,            0.00,            0.00,            0.00
280115,"FAP",001200055013,"PRP","   P2032",".                      ","H",           59.79,           12.56,            0.00,1,            0.00,            0.00,            0.00,            0.00
290115,"FAP",000100044569,"PRP","   P2392","                       ","H",           59.79,           12.56,            0.00,1,            0.00,            0.00,            0.00,            0.00
290115,"FAP",000108328220,"PRP","   P2441","                       ","H",            9.59,            2.01,            0.00,1,            0.00,            0.00,            0.00,            0.00
290115,"FAP",000110087451,"PRP","   P2441","                       ","H",            9.59,            2.01,            0.00,1,            0.00,            0.00,            0.00,            0.00
290115,"FAP",000400008783,"AD9","   P1104","                       ","D",          304.20,           63.88,            0.00,1,            0.00,            0.00,            0.00,            0.00
300115,"FAP",000200093694,"AD9","        ","                       ","D",           48.00,            0.00,            0.00,1,            0.00,            0.00,            0.00,            0.00
300115,"FAP",000200276025,"AD9","        ","                       ","D",           60.00,           12.60,            0.00,1,            0.00,            0.00,            0.00,            0.00
010215,"FAP",000100000983,"MAT","   P2355","                       ","H",         7867.80,         1652.24,            0.00,1,            0.00,            0.00,            0.00,            0.00
010215,"FAP",000100048542,"MAT","   P2109","                       ","H",          931.80,          195.68,            0.00,1,            0.00,            0.00,            0.00,            0.00
010215,"FAP",000200000002,"AD9","   P2522","                       ","H",        15000.00,         3150.00,            0.00,1,            0.00,            0.00,            0.00,            0.00
010215,"FAP",000400028679,"AD9","   P2477","                       ","H",          685.95,          144.05,            0.00,1,            0.00,            0.00,            0.00,            0.00
010215,"FAP",001000000758,"MAT","   P2032","                       ","H",          328.88,           69.06,            0.00,1,            0.00,            0.00,            0.00,            0.00
020215,"FAP",000100061500,"AD3","   P0528","                       ","H",           49.09,           13.25,            0.00,1,            0.00,            0.00,            0.00,            0.00
030215,"FAP",000100000990,"MAT","   P2355","                       ","H",         2185.35,          458.92,            0.00,1,            0.00,            0.00,            0.00,            0.00
030215,"FAP",000100050220,"VAR","   P0033","                       ","H",          572.01,          154.44,            0.00,1,            0.00,            0.00,            0.00,            0.00
030215,"FAP",000400008828,"MAT","   P1104","                       ","H",           49.59,           10.41,            0.00,1,            0.00,            0.00,            0.00,            0.00
030215,"FAP",000500041216,"MAT","   P2381","                       ","H",         1905.62,          400.18,            0.00,1,            0.00,            0.00,            0.00,            0.00
040215,"FAP",001400020229,"MAT","   P2188","                       ","H",           40.27,            8.46,            0.00,1,            0.00,            0.00,            0.00,            0.00
040215,"FAP",001602471413,"VAR","   P2212","                       ","H",           67.53,           18.23,            0.00,1,            0.00,            0.00,            0.00,            0.00
040215,"FAP",002700040793,"MAT","   P2119","                       ","H",           59.80,           12.56,            0.00,1,            0.00,            0.00,            0.00,            0.00
040215,"FAP",003500346988,"AD9","   P0999","                       ","H",          937.77,          196.93,            0.00,1,            0.00,            0.00,            0.00,            0.00
050215,"FAP",000400008860,"MAT","   P1104","                       ","H",          232.64,           48.85,            0.00,1,            0.00,            0.00,            0.00,            0.00
050215,"FAP",000400043299,"MAT","   P0921","                       ","H",          126.00,           26.46,            0.00,1,            0.00,            0.00,            0.00,            0.00
050215,"FAP",001100575466,"AD9","   P2205","                       ","H",          938.98,          197.19,            0.00,1,            0.00,            0.00,            0.00,            0.00
050215,"FAP",329100019163,"AD9","   P0751","                       ","H",          338.66,           71.12,            0.00,1,            0.00,            0.00,            0.00,            0.00
060215,"FAP",000200085926,"MAT","   P0571","                       ","H",           26.50,            5.57,            0.00,1,            0.00,            0.00,            0.00,            0.00
090215,"FAP",000100000994,"MAT","   P2355","                       ","H",         7707.90,         1618.66,            0.00,1,            0.00,            0.00,            0.00,            0.00
090215,"FAP",000100000995,"MAT","   P2355","                       ","H",        24505.05,         5146.06,            0.00,1,            0.00,            0.00,            0.00,            0.00
100215,"FAP",000300000134,"AD9","   P2526","                       ","H",          790.00,          165.90,            0.00,1,            0.00,            0.00,            0.00,            0.00
100215,"FAP",001200055565,"AD9","   P2032","                       ","H",           59.79,           12.56,            0.00,1,            0.00,            0.00,            0.00,            0.00
110215,"FAP",001400020272,"AD9","   P2188","                       ","H",           40.27,            8.46,            0.00,1,            0.00,            0.00,            0.00,            0.00
110215,"FAP",102202985958,"AD9","   P2271","                       ","H",         1176.66,          247.10,            0.00,1,            0.00,            0.00,            0.00,            0.00
120215,"FAP",000100046675,"MAT","   P2134","                       ","H",         2065.55,          433.77,            0.00,1,            0.00,            0.00,            0.00,            0.00
130215,"FAP",000400003701,"AD9","   P0570","                       ","H",          128.23,           26.93,            0.00,1,            0.00,            0.00,            0.00,            0.00
130215,"FAP",000400008965,"AD9","   P1104","                       ","H",           86.72,           18.21,            0.00,1,            0.00,            0.00,            0.00,            0.00
130215,"FAP",000400043569,"AD9","   P0921","                       ","H",          145.60,           30.58,            0.00,1,            0.00,            0.00,            0.00,            0.00
130215,"FAP",000500083763,"AD9","   P2409","                       ","H",           61.12,           12.84,            0.00,1,            0.00,            0.00,            0.00,            0.00
130215,"FAP",000700072017,"MAT","   P0902","                       ","H",          374.06,           78.55,            0.00,1,            0.00,            0.00,            0.00,            0.00
140215,"FAP",209303601253,"VAR","   P2273","                       ","H",         1848.79,          499.17,            0.00,1,            0.00,            0.00,            0.00,            0.00
180215,"FAP",000100043244,"VAR","   P0512","                       ","H",          640.52,          172.94,            0.00,1,            0.00,            0.00,            0.00,            0.00
180215,"FAP",000100043245,"VAR","   P0512","                       ","H",          391.40,          105.68,            0.00,1,            0.00,            0.00,            0.00,            0.00
180215,"FAP",000100048745,"MAT","   P2109","                       ","H",          760.80,          159.77,            0.00,1,            0.00,            0.00,            0.00,            0.00
190215,"FAP",000400003776,"AD9","   P0570","                       ","H",          160.74,           33.76,            0.00,1,            0.00,            0.00,            0.00,            0.00
190215,"FAP",000400003780,"AD9","   P0570","                       ","H",           29.64,            6.22,            0.00,1,            0.00,            0.00,            0.00,            0.00
190215,"FAP",000500079544,"AD9","   P2431","                       ","H",          308.75,           64.84,            0.00,1,            0.00,            0.00,            0.00,            0.00
190215,"FAP",001200055937,"AD9","   P2032","                       ","H",           60.33,           12.67,            0.00,1,            0.00,            0.00,            0.00,            0.00
190215,"FAP",001400020297,"MAT","   P2188","                       ","H",           37.73,            7.92,            0.00,1,            0.00,            0.00,            0.00,            0.00
200215,"FAP",000100016789,"MAT","   P0018","                       ","H",        11376.98,         2389.17,            0.00,1,            0.00,            0.00,            0.00,            0.00
200215,"FAP",000400007883,"MAT","   P0842","                       ","H",          164.50,           34.55,            0.00,1,            0.00,            0.00,            0.00,            0.00
230215,"FAP",000100006839,"MAT","   P2344","                       ","H",         4487.22,          942.32,            0.00,1,            0.00,            0.00,            0.00,            0.00
240215,"FAP",000100003996,"AD9","   P2114","                       ","H",           20.00,            0.00,            0.00,1,            0.00,            0.00,            0.00,            0.00
240215,"FAP",000100004000,"AD9","   P2114","                       ","H",           69.00,            0.00,            0.00,1,            0.00,            0.00,            0.00,            0.00
240215,"FAP",001300018963,"AD9","   P2032","                       ","H",          120.65,           25.34,            0.00,1,            0.00,            0.00,            0.00,            0.00
240215,"FAP",001400020333,"AD9","   P2188","                       ","H",           49.59,           10.41,            0.00,1,            0.00,            0.00,            0.00,            0.00
240215,"NCP",000100000998,"MAT","   P2355","                       ","D",         3099.00,          650.79,            0.00,1,            0.00,            0.00,            0.00,            0.00
250215,"FAP",000300064573,"MAT","   P0570","                       ","H",          153.18,           32.17,            0.00,1,            0.00,            0.00,            0.00,            0.00
250215,"FAP",000500006739,"MAT","   P1104","                       ","H",           89.28,           18.75,            0.00,1,            0.00,            0.00,            0.00,            0.00
260215,"FAP",000100000996,"MAT","   P2355","                       ","H",        11535.00,         2422.35,            0.00,1,            0.00,            0.00,            0.00,            0.00
260215,"FAP",000100001879,"AD9","   P2389","                       ","H",         1568.00,          329.28,            0.00,1,            0.00,            0.00,            0.00,            0.00
270215,"FAP",000100045759,"AD9","   P2392","                       ","H",           60.33,           12.67,            0.00,1,            0.00,            0.00,            0.00,            0.00
270215,"FAP",000400007941,"AD9","   P0842","                       ","H",          132.36,           27.80,            0.00,1,            0.00,            0.00,            0.00,            0.00
280215,"FAP",000100171158,"AD9","   P0526","                       ","H",          386.77,           81.22,            0.00,1,            0.00,            0.00,            0.00,            0.00
010315,"FAP",000020150127,"CO4","   P0033","                       ","H",          125.28,           33.83,            0.00,1,            0.00,            0.00,            0.00,            0.00
010315,"FAP",000100002402,"MAT","   P2244","                       ","H",         1420.00,          298.20,            0.00,1,            0.00,            0.00,            0.00,            0.00
010315,"FAP",000100006400,"AD9","   P1117","                       ","H",          690.00,          144.90,            0.00,1,            0.00,            0.00,            0.00,            0.00
010315,"FAP",000100008201,"MAT","   P2294","                       ","H",        10049.00,         2110.29,            0.00,1,            0.00,            0.00,            0.00,            0.00
010315,"FAP",000100008475,"AD9","   P2528","                       ","H",          407.93,           85.67,            0.00,1,            0.00,            0.00,            0.00,            0.00
010315,"FAP",000104324517,"CO3","   P0512","                       ","H",          391.40,          105.68,            0.00,1,            0.00,            0.00,            0.00,            0.00
010315,"FAP",000400028928,"AD9","   P2477","                       ","H",         1305.79,          274.22,            0.00,1,            0.00,            0.00,            0.00,            0.00
010315,"FAP",010600531918,"FA3","   P2178","                       ","H",          266.78,           72.03,            0.00,1,            0.00,            0.00,            0.00,            0.00
010315,"FAP",016108781218,"AD9","   P2084","                       ","H",         2907.04,          610.48,            0.00,1,            0.00,            0.00,            0.00,            0.00
010315,"FAP",120012015010,"CO4","   P0033","                       ","H",          575.39,          155.36,            0.00,1,            0.00,            0.00,            0.00,            0.00
020315,"FAP",000100000297,"AD9","   P2523","                       ","H",          235.00,           49.35,            0.00,1,            0.00,            0.00,            0.00,            0.00
020315,"FAP",000100007863,"MAT","   P0020","                       ","H",         2800.00,          588.00,            0.00,1,            0.00,            0.00,            0.00,            0.00
020315,"FAP",000100022357,"MAT","   P2421","                       ","H",         4715.10,          990.17,            0.00,1,            0.00,            0.00,            0.00,            0.00
